"Table 1: Fungicides Applied to National Acres Planted with 'Almonds' In 2000"
"Analyte","Sort Order","Percent Acres Treated","One Time Application Rate","Number of Applications","Rate per Crop Year","Surveyed Acre Treatments","Surveyed Acres","Total Acres",
"Azoxystrobin","320","0.13","0.2","1.2","0.26","82452.084","19800","19799.987525235",
"Benomyl","410","0.02","0.55","1.2","0.67","12684.936","9500","9499.9940146328",
"Captan","680","0.19","2.77","1.3","3.82","130549.133","426600","426599.73122551",
"Copper hydroxide","960","0.3","2.25","1.4","3.19","221986.38","564600","564599.64428018",
"Copper oxide","970","0.02","2.87","1.1","3.24","11627.858","35400","35399.977696632",
"Cyprodinil","1130","0.06","0.22","1.1","0.25","34883.574","8200","8199.994833683",
"Iprodione","2470","0.35","0.49","1.2","0.6","221986.38","123400","123399.92225323",
"Maneb","2630","0.13","2.48","1.4","3.51","96194.098","265500","265499.83272474",
"Myclobutanil","3020","0.01","0.15","1.2","0.18","6342.468","1200","1199.9992439536",
"Propiconazole","3630","0.23","0.11","1.3","0.15","158033.161","19900","19899.987462231",
"Sulfur","4130","0.01080516706","10.01","1.2","12.35","6853.1426312704","62300","62299.960748592",
"Thiophanate-methyl","4360","0.11","0.7","1.1","0.82","63953.219","53400","53399.966355936",
"Ziram","4670","0.19","5.06","1.1","6.02","110464.651","673800","673799.57547996",
"Other Fungicides","7001","0","","","","0","282400","282399.82207708",
