Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Azoxystrobin,320,0.13,0.2,1.2,0.26,99874.008,19800,19800.00619,2005
Benomyl,410,0.02,0.55,1.2,0.67,15365.232,9500,9500.002968,2005
Captan,680,0.19,2.77,1.3,3.82,158133.846,426600,426600.1333,2005
Copper hydroxide,960,0.3,2.25,1.4,3.19,268891.56,564600,564600.1764,2005
Copper oxide,970,0.02,2.87,1.1,3.24,14084.796,35400,35400.01106,2005
Cyprodinil,1130,0.06,0.22,1.1,0.25,42254.388,8200,8200.002562,2005
Iprodione,2470,0.35,0.49,1.2,0.6,268891.56,123400,123400.0385,2005
Maneb,2630,0.13,2.48,1.4,3.51,116519.676,265500,265500.0829,2005
Myclobutanil,3020,0.01,0.15,1.2,0.18,7682.616,1200,1200.000375,2005
Propiconazole,3630,0.23,0.11,1.3,0.15,191425.182,19900,19900.00622,2005
Sulfur,4130,0.010805167,10.01,1.2,12.35,8301.194934,62300,62300.01946,2005
Thiophanate-methyl,4360,0.11,0.7,1.1,0.82,77466.378,53400,53400.01668,2005
Ziram,4670,0.19,5.06,1.1,6.02,133805.562,673800,673800.2105,2005
Other Fungicides,7001,0,,,,0,282400,282400.0882,2005
