"Table 1: Fungicides Applied to National Acres Planted with 'Almonds' In 2004"
"Analyte","Sort Order","Percent Acres Treated","One Time Application Rate","Number of Applications","Rate per Crop Year","Surveyed Acre Treatments","Surveyed Acres","Total Acres",
"Azoxystrobin","320","0.13","0.2","1.2","0.26","99114.756","19800","19799.993767225",
"Benomyl","410","0.02","0.55","1.2","0.67","15248.424","9500","9499.997009527",
"Captan","680","0.19","2.77","1.3","3.82","156931.697","426600","426599.86571202",
"Copper hydroxide","960","0.3","2.25","1.4","3.19","266847.42","564600","564599.82227147",
"Copper oxide","970","0.02","2.87","1.1","3.24","13977.722","35400","35399.988856553",
"Cyprodinil","1130","0.06","0.22","1.1","0.25","41933.166","8200","8199.9974187496",
"Iprodione","2470","0.35","0.49","1.2","0.6","266847.42","123400","123399.96115533",
"Maneb","2630","0.13","2.48","1.4","3.51","115633.882","265500","265499.91642415",
"Myclobutanil","3020","0.01","0.15","1.2","0.18","7624.212","1200","1199.999622256",
"Propiconazole","3630","0.23","0.11","1.3","0.15","189969.949","19900","19899.993735746",
"Sulfur","4130","0.01080516706","10.01","1.2","12.35","8238.0884360857","62300","62299.980388793",
"Thiophanate-methyl","4360","0.11","0.7","1.1","0.82","76877.471","53400","53399.983190394",
"Ziram","4670","0.19","5.06","1.1","6.02","132788.359","673800","673799.78789677",
"Other Fungicides","7001","0","","","","0","282400","282399.91110426",
