Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Azoxystrobin,320,0.13,0.2,1.2,0.26,90024.012,19800,19800.01143,2001
Benomyl,410,0.02,0.55,1.2,0.67,13849.848,9500,9500.005482,2001
Captan,680,0.19,2.77,1.3,3.82,142538.019,426600,426600.2462,2001
Copper hydroxide,960,0.3,2.25,1.4,3.19,242372.34,564600,564600.3258,2001
Copper oxide,970,0.02,2.87,1.1,3.24,12695.694,35400,35400.02043,2001
Cyprodinil,1130,0.06,0.22,1.1,0.25,38087.082,8200,8200.004732,2001
Iprodione,2470,0.35,0.49,1.2,0.6,242372.34,123400,123400.0712,2001
Maneb,2630,0.13,2.48,1.4,3.51,105028.014,265500,265500.1532,2001
Myclobutanil,3020,0.01,0.15,1.2,0.18,6924.924,1200,1200.000692,2001
Propiconazole,3630,0.23,0.11,1.3,0.15,172546.023,19900,19900.01148,2001
Sulfur,4130,0.010805167,10.01,1.2,12.35,7482.49607,62300,62300.03595,2001
Thiophanate-methyl,4360,0.11,0.7,1.1,0.82,69826.317,53400,53400.03081,2001
Ziram,4670,0.19,5.06,1.1,6.02,120609.093,673800,673800.3888,2001
Other Fungicides,7001,0,,,,0,282400,282400.163,2001
