Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Azoxystrobin,320,0.13,0.2,1.2,0.26,100633.416,19800,19799.98772,2006
Benomyl,410,0.02,0.55,1.2,0.67,15482.064,9500,9499.994109,2006
Captan,680,0.19,2.77,1.3,3.82,159336.242,426600,426599.7355,2006
Copper hydroxide,960,0.3,2.25,1.4,3.19,270936.12,564600,564599.6499,2006
Copper oxide,970,0.02,2.87,1.1,3.24,14191.892,35400,35399.97805,2006
Cyprodinil,1130,0.06,0.22,1.1,0.25,42575.676,8200,8199.994915,2006
Iprodione,2470,0.35,0.49,1.2,0.6,270936.12,123400,123399.9235,2006
Maneb,2630,0.13,2.48,1.4,3.51,117405.652,265500,265499.8354,2006
Myclobutanil,3020,0.01,0.15,1.2,0.18,7741.032,1200,1199.999256,2006
Propiconazole,3630,0.23,0.11,1.3,0.15,192880.714,19900,19899.98766,2006
Sulfur,4130,0.010805167,10.01,1.2,12.35,8364.314398,62300,62299.96137,2006
Thiophanate-methyl,4360,0.11,0.7,1.1,0.82,78055.406,53400,53399.96689,2006
Ziram,4670,0.19,5.06,1.1,6.02,134822.974,673800,673799.5822,2006
Other Fungicides,7001,0,,,,0,282400,282399.8249,2006
