Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Azoxystrobin,320,0.13,0.2,1.2,0.26,98355.348,19800,19800.01256,2003
Benomyl,410,0.02,0.55,1.2,0.67,15131.592,9500,9500.006027,2003
Captan,680,0.19,2.77,1.3,3.82,155729.301,426600,426600.2706,2003
Copper hydroxide,960,0.3,2.25,1.4,3.19,264802.86,564600,564600.3582,2003
Copper oxide,970,0.02,2.87,1.1,3.24,13870.626,35400,35400.02246,2003
Cyprodinil,1130,0.06,0.22,1.1,0.25,41611.878,8200,8200.005202,2003
Iprodione,2470,0.35,0.49,1.2,0.6,264802.86,123400,123400.0783,2003
Maneb,2630,0.13,2.48,1.4,3.51,114747.906,265500,265500.1684,2003
Myclobutanil,3020,0.01,0.15,1.2,0.18,7565.796,1200,1200.000761,2003
Propiconazole,3630,0.23,0.11,1.3,0.15,188514.417,19900,19900.01263,2003
Sulfur,4130,0.010805167,10.01,1.2,12.35,8174.968972,62300,62300.03953,2003
Thiophanate-methyl,4360,0.11,0.7,1.1,0.82,76288.443,53400,53400.03388,2003
Ziram,4670,0.19,5.06,1.1,6.02,131770.947,673800,673800.4275,2003
Other Fungicides,7001,0,,,,0,282400,282400.1792,2003
