Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Azoxystrobin,320,0.13,0.2,1.2,0.26,132600,19800,19800,2013
Benomyl,410,0.02,0.55,1.2,0.67,20400,9500,9500,2013
Captan,680,0.19,2.77,1.3,3.82,209950,426600,426600,2013
Copper hydroxide,960,0.3,2.25,1.4,3.19,357000,564600,564600,2013
Copper oxide,970,0.02,2.87,1.1,3.24,18700,35400,35400,2013
Cyprodinil,1130,0.06,0.22,1.1,0.25,56100,8200,8200,2013
Iprodione,2470,0.35,0.49,1.2,0.6,357000,123400,123400,2013
Maneb,2630,0.13,2.48,1.4,3.51,154700,265500,265500,2013
Myclobutanil,3020,0.01,0.15,1.2,0.18,10200,1200,1200,2013
Propiconazole,3630,0.23,0.11,1.3,0.15,254150,19900,19900,2013
Sulfur,4130,0.010805167,10.01,1.2,12.35,11021.2704,62300,62300,2013
Thiophanate-methyl,4360,0.11,0.7,1.1,0.82,102850,53400,53400,2013
Ziram,4670,0.19,5.06,1.1,6.02,177650,673800,673800,2013
Other Fungicides,7001,0,,,,0,282400,282400,2013
