Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,126720,2200,2200,1999
Azinphos-methyl,310,0.07,1.9,1.1,2.21,36960,91500,91500,1999
Chlorpyrifos,820,0.17,1.67,1.1,1.86,89760,180800,180800,1999
Clofentezine,870,0.010198135,0.13,1.1,0.15,5384.615386,700,700,1999
Diazinon,1220,0.09,2.51,1.2,3.09,51840,165000,165000,1999
Esfenvalerate,1620,0.14,0.05,1.5,0.08,100800,6200,6200,1999
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,79200,62800,62800,1999
Methidathion,2830,0.07,1.17,1.2,1.46,40320,57900,57900,1999
Permethrin,3350,0.15,0.18,1.3,0.24,93600,20600,20600,1999
Petroleum distillate,3360,0.58,19.07,1.3,25.86,361920,8728500,8728500,1999
Phosmet,3410,0.18,2.49,1.2,3.07,103680,322900,322900,1999
Propargite,3620,0.22,1.88,1.3,2.49,137280,321500,321500,1999
Spinosad,4020,0.05,0.09,1.1,0.1,26400,3000,3000,1999
Other Insecticides,7003,0,,,,0,17700,17700,1999
