Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,169017.552,2200,2200.000687,2005
Azinphos-methyl,310,0.07,1.9,1.1,2.21,49296.786,91500,91500.02858,2005
Chlorpyrifos,820,0.17,1.67,1.1,1.86,119720.766,180800,180800.0565,2005
Clofentezine,870,0.010198135,0.13,1.1,0.15,7181.932694,700,700.0002187,2005
Diazinon,1220,0.09,2.51,1.2,3.09,69143.544,165000,165000.0515,2005
Esfenvalerate,1620,0.14,0.05,1.5,0.08,134445.78,6200,6200.001937,2005
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,105635.97,62800,62800.01962,2005
Methidathion,2830,0.07,1.17,1.2,1.46,53778.312,57900,57900.01809,2005
Permethrin,3350,0.15,0.18,1.3,0.24,124842.51,20600,20600.00644,2005
Petroleum distillate,3360,0.58,19.07,1.3,25.86,482724.372,8728500,8728502.727,2005
Phosmet,3410,0.18,2.49,1.2,3.07,138287.088,322900,322900.1009,2005
Propargite,3620,0.22,1.88,1.3,2.49,183102.348,321500,321500.1004,2005
Spinosad,4020,0.05,0.09,1.1,0.1,35211.99,3000,3000.000937,2005
Other Insecticides,7003,0,,,,0,17700,17700.00553,2005
