Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,171587.592,2200,2200,2007
Azinphos-methyl,310,0.07,1.9,1.1,2.21,50046.381,91500,91500,2007
Chlorpyrifos,820,0.17,1.67,1.1,1.86,121541.211,180800,180800,2007
Clofentezine,870,0.010198135,0.13,1.1,0.15,7291.139424,700,700,2007
Diazinon,1220,0.09,2.51,1.2,3.09,70194.924,165000,165000,2007
Esfenvalerate,1620,0.14,0.05,1.5,0.08,136490.13,6200,6200,2007
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,107242.245,62800,62800,2007
Methidathion,2830,0.07,1.17,1.2,1.46,54596.052,57900,57900,2007
Permethrin,3350,0.15,0.18,1.3,0.24,126740.835,20600,20600,2007
Petroleum distillate,3360,0.58,19.07,1.3,25.86,490064.562,8728500,8728500,2007
Phosmet,3410,0.18,2.49,1.2,3.07,140389.848,322900,322900,2007
Propargite,3620,0.22,1.88,1.3,2.49,185886.558,321500,321500,2007
Spinosad,4020,0.05,0.09,1.1,0.1,35747.415,3000,3000,2007
Other Insecticides,7003,0,,,,0,17700,17700,2007
