Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,229680,2200,2200,2014
Azinphos-methyl,310,0.07,1.9,1.1,2.21,66990,91500,91500,2014
Chlorpyrifos,820,0.17,1.67,1.1,1.86,162690,180800,180800,2014
Clofentezine,870,0.010198135,0.13,1.1,0.15,9759.615386,700,700,2014
Diazinon,1220,0.09,2.51,1.2,3.09,93960,165000,165000,2014
Esfenvalerate,1620,0.14,0.05,1.5,0.08,182700,6200,6200,2014
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,143550,62800,62800,2014
Methidathion,2830,0.07,1.17,1.2,1.46,73080,57900,57900,2014
Permethrin,3350,0.15,0.18,1.3,0.24,169650,20600,20600,2014
Petroleum distillate,3360,0.58,19.07,1.3,25.86,655980,8728500,8728500,2014
Phosmet,3410,0.18,2.49,1.2,3.07,187920,322900,322900,2014
Propargite,3620,0.22,1.88,1.3,2.49,248820,321500,321500,2014
Spinosad,4020,0.05,0.09,1.1,0.1,47850,3000,3000,2014
Other Insecticides,7003,0,,,,0,17700,17700,2014
