Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,170302.704,2200,2199.998636,2006
Azinphos-methyl,310,0.07,1.9,1.1,2.21,49671.622,91500,91499.94326,2006
Chlorpyrifos,820,0.17,1.67,1.1,1.86,120631.082,180800,180799.8879,2006
Clofentezine,870,0.010198135,0.13,1.1,0.15,7236.541668,700,699.9995659,2006
Diazinon,1220,0.09,2.51,1.2,3.09,69669.288,165000,164999.8977,2006
Esfenvalerate,1620,0.14,0.05,1.5,0.08,135468.06,6200,6199.996156,2006
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,106439.19,62800,62799.96106,2006
Methidathion,2830,0.07,1.17,1.2,1.46,54187.224,57900,57899.9641,2006
Permethrin,3350,0.15,0.18,1.3,0.24,125791.77,20600,20599.98723,2006
Petroleum distillate,3360,0.58,19.07,1.3,25.86,486394.844,8728500,8728494.588,2006
Phosmet,3410,0.18,2.49,1.2,3.07,139338.576,322900,322899.7998,2006
Propargite,3620,0.22,1.88,1.3,2.49,184494.596,321500,321499.8006,2006
Spinosad,4020,0.05,0.09,1.1,0.1,35479.73,3000,2999.99814,2006
Other Insecticides,7003,0,,,,0,17700,17699.98902,2006
