Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,166447.512,2200,2200.001396,2003
Azinphos-methyl,310,0.07,1.9,1.1,2.21,48547.191,91500,91500.05805,2003
Chlorpyrifos,820,0.17,1.67,1.1,1.86,117900.321,180800,180800.1147,2003
Clofentezine,870,0.010198135,0.13,1.1,0.15,7072.725963,700,700.0004441,2003
Diazinon,1220,0.09,2.51,1.2,3.09,68092.164,165000,165000.1047,2003
Esfenvalerate,1620,0.14,0.05,1.5,0.08,132401.43,6200,6200.003933,2003
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,104029.695,62800,62800.03984,2003
Methidathion,2830,0.07,1.17,1.2,1.46,52960.572,57900,57900.03673,2003
Permethrin,3350,0.15,0.18,1.3,0.24,122944.185,20600,20600.01307,2003
Petroleum distillate,3360,0.58,19.07,1.3,25.86,475384.182,8728500,8728505.538,2003
Phosmet,3410,0.18,2.49,1.2,3.07,136184.328,322900,322900.2049,2003
Propargite,3620,0.22,1.88,1.3,2.49,180318.138,321500,321500.204,2003
Spinosad,4020,0.05,0.09,1.1,0.1,34676.565,3000,3000.001903,2003
Other Insecticides,7003,0,,,,0,17700,17700.01123,2003
