Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,139534.296,2200,2199.998614,2000
Azinphos-methyl,310,0.07,1.9,1.1,2.21,40697.503,91500,91499.94235,2000
Chlorpyrifos,820,0.17,1.67,1.1,1.86,98836.793,180800,180799.8861,2000
Clofentezine,870,0.010198135,0.13,1.1,0.15,5929.123399,700,699.999559,2000
Diazinon,1220,0.09,2.51,1.2,3.09,57082.212,165000,164999.896,2000
Esfenvalerate,1620,0.14,0.05,1.5,0.08,110993.19,6200,6199.996094,2000
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,87208.935,62800,62799.96043,2000
Methidathion,2830,0.07,1.17,1.2,1.46,44397.276,57900,57899.96352,2000
Permethrin,3350,0.15,0.18,1.3,0.24,103065.105,20600,20599.98702,2000
Petroleum distillate,3360,0.58,19.07,1.3,25.86,398518.406,8728500,8728494.501,2000
Phosmet,3410,0.18,2.49,1.2,3.07,114164.424,322900,322899.7966,2000
Propargite,3620,0.22,1.88,1.3,2.49,151162.154,321500,321499.7974,2000
Spinosad,4020,0.05,0.09,1.1,0.1,29069.645,3000,2999.99811,2000
Other Insecticides,7003,0,,,,0,17700,17699.98885,2000
