"Table 1: Insecticides Applied to National Acres Planted with 'Almonds' In 2008"
"Analyte","Sort Order","Percent Acres Treated","One Time Application Rate","Number of Applications","Rate per Crop Year","Surveyed Acre Treatments","Surveyed Acres","Total Acres",
"Abamectin","130","0.24","0.01","1.1","0.02","180833.664","2200","2200.0016058957",
"Azinphos-methyl","310","0.07","1.9","1.1","2.21","52743.152","91500","91500.066790661",
"Chlorpyrifos","820","0.17","1.67","1.1","1.86","128090.512","180800","180800.13197543",
"Clofentezine","870","0.0101981352","0.13","1.1","0.15","7684.0256424307","700","700.00051096681",
"Diazinon","1220","0.09","2.51","1.2","3.09","73977.408","165000","165000.12044218",
"Esfenvalerate","1620","0.14","0.05","1.5","0.08","143844.96","6200","6200.004525706",
"Fenbutatin-oxide","1760","0.15","0.67","1.1","0.74","113021.04","62800","62800.045841022",
"Methidathion","2830","0.07","1.17","1.2","1.46","57537.984","57900","57900.042264255",
"Permethrin","3350","0.15","0.18","1.3","0.24","133570.32","20600","20600.015037023",
"Petroleum distillate","3360","0.58","19.07","1.3","25.86","516471.904","8728500","8728506.3713911",
"Phosmet","3410","0.18","2.49","1.2","3.07","147954.816","322900","322900.23570169",
"Propargite","3620","0.22","1.88","1.3","2.49","195903.136","321500","321500.23467976",
"Spinosad","4020","0.05","0.09","1.1","0.1","37673.68","3000","3000.0021898577",
"Other Insecticides","7003","0","","","","0","17700","17700.012920161",
